feature,importance
login_timestamp_11/14/2022,0.00016203247882567867
login_timestamp_8/27/2022,0.00016123934977615282
login_timestamp_3/14/2022,0.00016041904271476556
login_timestamp_1/26/2022,0.0001594081170882946
login_timestamp_7/13/2022,0.00015872561648310542
login_timestamp_3/4/2022,0.00015835113829603127
login_timestamp_4/15/2022,0.00015676594591144117
login_timestamp_11/28/2022,0.00015604112604367343
login_timestamp_5/24/2022,0.00015563211709554992
login_timestamp_5/23/2022,0.00015476343785790034
login_timestamp_9/6/2022,0.0001520444338248313
login_timestamp_11/13/2022,0.00015169555569217983
login_timestamp_1/29/2022,0.00015120846502724385
login_timestamp_10/6/2022,0.0001484773469678829
login_timestamp_3/26/2022,0.00014605615639367417
login_timestamp_5/22/2022,0.0001440531279670189
login_timestamp_7/27/2022,0.00014285772475826678
login_timestamp_1/24/2022,0.00014193298613975476
login_timestamp_12/30/2022,0.00014166929225553358
login_timestamp_4/3/2022,0.00014165935016202742
login_timestamp_7/24/2022,0.00014149430547402006
login_timestamp_7/16/2022,0.00013900107245517278
login_timestamp_4/29/2022,0.0001360007993330634
login_timestamp_5/30/2022,0.0001338937767699853
login_timestamp_9/28/2022,0.00013261610423209486
login_timestamp_6/1/2022,0.0001310127309563446
login_timestamp_10/3/2022,0.00013095821304622566
login_timestamp_5/10/2022,0.00012978276931994458
login_timestamp_2/24/2022,0.00012930553626458785
login_timestamp_8/31/2022,0.00012912903762193794
login_timestamp_12/26/2022,0.00012821440007819283
login_timestamp_2/2/2022,0.00012766718448735636
login_timestamp_10/30/2022,0.00012735428131965327
login_timestamp_12/15/2022,0.00012691234171261564
login_timestamp_9/2/2022,0.00012676668478177298
login_timestamp_6/8/2022,0.0001250288235004304
login_timestamp_12/25/2022,0.0001246050337794404
login_timestamp_11/19/2022,0.0001246049840617686
login_timestamp_3/8/2022,0.00012251737149793202
login_timestamp_3/27/2022,0.0001223807475247402
login_timestamp_5/31/2022,0.00011996951050691897
login_timestamp_7/7/2022,0.00011865392506013692
login_timestamp_3/10/2022,0.00011773714285674172
login_timestamp_7/2/2022,0.00011758002144508712
login_timestamp_2/26/2022,0.0001175442456025413
login_timestamp_8/1/2022,0.00011715787187107176
login_timestamp_7/18/2022,0.00011691134869816868
login_timestamp_4/28/2022,0.0001147573181556734
login_timestamp_12/7/2022,0.0001136356108643078
login_timestamp_12/28/2022,0.00011345623303079839
login_timestamp_5/27/2022,0.00011274152526754048
login_timestamp_8/3/2022,0.00011230852070018186
login_timestamp_4/21/2022,0.00011147806669782557
login_timestamp_4/4/2022,0.0001105954318440927
login_timestamp_1/20/2022,0.00011059243116970973
